page,text,confidence,bbox
,choses que votre cœur souhaitait obscurément ; puis,0.9805217794343537,"70.0,172.0,661.0,197.0"
,"la grande cloche se tut bientôt, relayée par une petite",0.990605500611392,"70.0,197.0,661.0,224.0"
,qui sonnait faible et monotone... » C'est curieux comme,0.9872103398496455,"70.0,224.0,660.0,249.0"
,l'intrusion du son se fait souvent chez Kafka en,0.9901873481770357,"70.0,253.0,661.0,275.0"
,connexion avec le mouvement de dresser ou de redres-,0.9896399229764938,"69.0,279.0,659.0,301.0"
,ser la tête : Joséphine la souris ; les jeunes chiens musi-,0.9879477155410638,"69.0,305.0,659.0,330.0"
,"ciens (« Tout était musique, leur manière de lever et",0.990203671860245,"68.0,330.0,659.0,356.0"
,"de poser les pattes, certains mouvements de leur tête...,",0.989696813257117,"69.0,357.0,659.0,382.0"
,"ils marchaient debout sur les jambes de derrière,... ils",0.9884381166526249,"68.0,383.0,658.0,409.0"
,se redressaient rapidement... »). C'est surtout dans la,0.988668948953802,"68.0,411.0,659.0,435.0"
,Métamorphose qu'apparaît la distinction de deux états,0.9902686757861443,"68.0,437.0,658.0,462.0"
,"du désir, d'une part lorsque Grégoire se colle sur le",0.9900555891810723,"68.0,462.0,659.0,488.0"
,portrait de la dame à la fourrure et penche la tête vers,0.9872136265039444,"68.0,490.0,658.0,514.0"
,"la porte, dans un effort désespéré pour conserver quel-",0.9904596610502763,"67.0,516.0,657.0,542.0"
,que chose dans sa chambre de famille qu'on est en,0.9902982432015088,"66.0,543.0,658.0,568.0"
,"train de vider, d'autre part lorsque Grégoire sort de",0.990619642554589,"66.0,569.0,657.0,596.0"
,"cette chambre, guidé par le son vacillant du violon,",0.9883434153520144,"66.0,595.0,657.0,621.0"
,projette de grimper jusqu'au cou dégagé de sa sœur,0.9894753527641297,"66.0,620.0,656.0,649.0"
,qui ne porte plus ni col ni ruban depuis qu'elle a perdu,0.9888931597982135,"66.0,647.0,657.0,674.0"
,sa situation sociale). Différence entre un inceste plas-,0.9902643550719533,"66.0,675.0,656.0,700.0"
,"tique encore œdipien, sur une photo maternelle, et un",0.9879511066202847,"66.0,702.0,657.0,728.0"
,"inceste schizo, avec la sœur et la petite musique qui",0.9902375711584991,"66.0,728.0,657.0,753.0"
,en sort étrangement? La musique semble toujours,0.9825181999105088,"66.0,752.0,657.0,780.0"
,"prise dans un devenir-enfant, ou dans un devenir-animal",0.9898173635656183,"66.0,780.0,657.0,805.0"
,"indécomposable, bloc sonore qui s'oppose au souvenir",0.9903345921864877,"66.0,806.0,656.0,835.0"
,"visuel. « L'obscurité, s'il vous plaît! Je ne saurais",0.9873711365573811,"66.0,834.0,656.0,860.0"
,"jouer dans la lumière, dis-je en me redressant »<sup>3</sup>. On",0.9816795446655967,"65.0,861.0,655.0,886.0"
,pourrait croire qu'il y a là deux nouvelles formes : tête,0.9894699684360571,"64.0,886.0,655.0,912.0"
,"redressée comme forme de contenu, son musical comme",0.989738709786359,"64.0,913.0,654.0,937.0"
,forme d'expression. Faut-il écrire les équations sui-,0.9903223019725872,"64.0,938.0,654.0,967.0"
,vantes :,0.9302668124437332,"64.0,971.0,148.0,988.0"
,3. Description d'un combat. (La première partie de Description,0.9903667722978899,"84.0,1007.0,655.0,1033.0"
,d'un combat développe constamment ce double mouvement tête,0.9890479476287447,"64.0,1031.0,654.0,1049.0"
,"penchée-tête redressée, celle-ci en rapport avec des sons.)",0.9895147762056125,"63.0,1051.0,581.0,1069.0"
,10,0.9915092885494232,"66.0,1101.0,94.0,1118.0"
,CONTENU ET EXPRESSION,0.9646651290711903,"382.0,69.0,657.0,85.0"
,"désir bloqué, soumis ou soumetteur,<br>neutralisé, à connexion minima, sou-",0.9871912532382541,"250.0,114.0,658.0,170.0"
,tête penchée,0.9894750118255615,"65.0,116.0,205.0,143.0"
,portrait-photo,0.9897252193519047,"65.0,157.0,216.0,182.0"
,"venir d'enfance, territorialité ou reter-",0.9903246135246463,"252.0,167.0,657.0,193.0"
,ritorialisation.,0.9860813952982426,"251.0,196.0,403.0,216.0"
,tête relevée,0.9841290265321732,"66.0,235.0,195.0,255.0"
,"désir qui se redresse, ou se défile, et",0.990427845563644,"252.0,235.0,657.0,261.0"
,"<math>=</math>s'ouvre à de nouvelles connexions,",0.9648657263936223,"228.0,255.0,657.0,286.0"
,son musical,0.9896754947575656,"66.0,278.0,199.0,295.0"
,"bloc d'enfance ou bloc animal, déter-",0.9901710152626038,"252.0,286.0,657.0,310.0"
,ritorialisation.,0.986034207046032,"251.0,316.0,404.0,334.0"
,Ce n'est pas encore ça. Ce n'est certes pas la musique,0.9904105486693205,"93.0,352.0,657.0,383.0"
,"organisée, la forme musicale, qui intéresse Kafka (dans<br>ses lettres et son journal on ne relève que des anecdotes",0.9841171671858931,"65.0,374.0,658.0,436.0"
,insignifiantes sur quelques musiciens). Ce n'est pas une,0.9905258055244174,"66.0,428.0,656.0,460.0"
,"musique composée, sémiotiquement formée, qui inté-",0.9907531833648682,"66.0,455.0,657.0,487.0"
,"resse Kafka, mais une pure matière sonore. Si l'on",0.9891627848148346,"66.0,483.0,656.0,511.0"
,"recense les principales scènes d'intrusion sonore, on",0.9900726259879347,"66.0,510.0,656.0,537.0"
,"obtient à peu près : le concert à la John Cage, dans<br>Description d'un combat où <math>1^{\circ}</math>) le Dévot veut jouer<br>du piano, parce qu'il est sur le point d'être heureux ;<br><math>2^{\circ}</math>) ne sait pas jouer ; <math>3^{\circ}</math>) ne joue pas du tou",0.9743750163812956,"63.0,528.0,658.0,680.0"
,"à l'autre bout de la pièce, tout en sifflant un petit air",0.9899238515318486,"66.0,671.0,655.0,698.0"
,et en me balançant en cadence »); 4°) est félicité,0.9820330822467804,"65.0,696.0,655.0,724.0"
,"d'avoir si bien joué. Dans Recherches d'un chien, les",0.990603674132869,"66.0,721.0,655.0,750.0"
,"chiens musiciens produisent un grand vacarme, mais on",0.9902015170961056,"66.0,749.0,656.0,777.0"
,"ne sait pas comment, puisqu'ils ne parlent, ne chantent",0.9905153512954712,"66.0,774.0,656.0,807.0"
,"ni n'aboient, faisant surgir la musique du néant. Dans",0.9905280713681821,"66.0,800.0,656.0,831.0"
,"Joséphine la cantatrice ou le Peuple des souris, il est",0.9904094121672891,"66.0,829.0,656.0,857.0"
,"improbable que Joséphine chante, elle siffle seulement",0.9899183268900271,"66.0,855.0,656.0,884.0"
,"et pas mieux qu'une autre souris, plutôt moins bien, de",0.9902798923579129,"66.0,882.0,656.0,909.0"
,telle manière que le mystère de son art inexistant,0.9898492550849914,"66.0,908.0,654.0,936.0"
,"devient encore plus grand. Dans Amérique, Karl Ross-",0.9903189746233133,"66.0,934.0,655.0,965.0"
,"man joue trop vite ou trop lentement, ridicule, et sen-",0.9901367978616195,"66.0,962.0,655.0,989.0"
,tant « un autre chant monter en lui ». Dans la Méta-,0.9901866775292617,"66.0,990.0,654.0,1014.0"
,"morphose, le son intervient d'abord comme piaulement",0.9903580741240428,"66.0,1015.0,656.0,1042.0"
,qui entraîne la voix de Grégoire et brouille la résonance,0.9904470161387795,"66.0,1041.0,655.0,1067.0"
,11,0.9840724468231201,"626.0,1101.0,653.0,1118.0"
